Palavra,Polaridade
defraudar,-1
defunto,-1
degenerado,-1
degradado,-1
degradante,-1
degredado,-1
degredo,-1
deicida,-1
deitar achas na fogueira,-1
deitar água na fervura,1
deitar as unhas a,-1
deitar foguetes antes da festa,-1
deitar lenha na fogueira,-1
deitar poeira aos olhos a,-1
deitar poeira para os olhos de,-1
deitar tudo a perder,-1
deitar tudo para trás das costas,-1
deitar tudo por água abaixo,-1
deixar com as calças na mão,-1
deixar com as mãos a abanar,-1
deixar de rastos,-1
deixar muito a desejar,-1
deixar o barco à deriva,-1
deixar o país de tanga,-1
deixar tudo para depois,-1
deixar-se levar,-1
delambido,-1
deleitoso,1
deletério,-1
delicadeza,1
delicado,1
delicioso,1
delinquência,-1
delinquente,-1
delirar,-1
delituoso,-1
demagogia,-1
demagógico,-1
demagogo,-1
demarcado,-1
demência,-1
demente,-1
demérito,-1
demitido,-1
democracia,1
democraticidade,1
democrático,1
démodé,-1
demolidor,-1
demoníaco,-1
demorado,-1
denegrido,-1
denegrir a sua imagem,-1
dengoso,-1
denodado,1
depauperado,-1
depenado,-1
dependurado,-1
deploração,-1
deplorável,-1
deportado,-1
deposto,-1
depravação,-1
depravado,-1
depravador,-1
depreciado,-1
depreciar,-1
depreciativo,-1
depressão maníaca,-1
depressão,-1
depressivo,-1
depressor,-1
deprimência,-1
deprimente,-1
deprimido,-1
derramado,-1
derreado,-1
derreamento,-1
derrear,1
derreter,1
derrota,-1
derrotado,-1
derrotar,1
derrotismo,-1
derrotista,-1
derrubado,-1
derrubar,1
desabonado,-1
desabrido,-1
desabrigado,-1
desabusado,-1
desacompanhado,-1
desacordado,-1
desacreditado,-1
desacreditar,1
desactualizado,-1
desadaptado,-1
desafectado,1
desafecto,-1
desafetado,1
desafeto,-1
desafinação,-1
desafinado,-1
desafogado,1
desaforado,-1
desaforido,-1
desafortunado,-1
desagradado,-1
desagradável,-1
desagradecido,-1
desagrado,-1
desaire,-1
desairoso,-1
desajeitado,-1
desajustado,-1
desalentado,-1
desalento,-1
desalinhado,-1
desalinhamento,-1
desalmado,-1
desalojado,-1
desamparado,-1
desamparo,-1
desancar,1
desanimação,-1
desanimado,-1
desanimador,-1
desânimo,-1
desapaixonado,-1
desaparafusado,-1
desaparecer do mapa,-1
desaparecido,-1
desapegado,-1
desapiedado,-1
desapontado,-1
desapontador,-1
desapossado,-1
desapropriado,-1
desaprovador,-1
desaproveitado,-1
desarmante,1
desarmar,1
desarranjado,-1
desarrazoado,-1
desarrumado,-1
